UNITID,ADMCON1_2017,ADMCON2_2017,ADMCON3_2017,ADMCON4_2017,ADMCON5_2017,ADMCON6_2017,ADMCON7_2017,ADMCON8_2017,ADMCON9_2017,XAPPLCN_2017,APPLCN_2017,XAPPLCNM_2017,APPLCNM_2017,XAPPLCNW_2017,APPLCNW_2017,XADMSSN_2017,ADMSSN_2017,XADMSSNM_2017,ADMSSNM_2017,XADMSSNW_2017,ADMSSNW_2017,XENRLT_2017,ENRLT_2017,XENRLM_2017,ENRLM_2017,XENRLW_2017,ENRLW_2017,XENRLFT_2017,ENRLFT_2017,XENRLFTM_2017,ENRLFTM_2017,XENRLFTW_2017,ENRLFTW_2017,XENRLPT_2017,ENRLPT_2017,XENRLPTM_2017,ENRLPTM_2017,XENRLPTW_2017,ENRLPTW_2017,XSATNUM_2017,SATNUM_2017,XSATPCT_2017,SATPCT_2017,XACTNUM_2017,ACTNUM_2017,XACTPCT_2017,ACTPCT_2017,XSATVR25_2017,SATVR25_2017,XSATVR75_2017,SATVR75_2017,XSATMT25_2017,SATMT25_2017,XSATMT75_2017,SATMT75_2017,XACTCM25_2017,ACTCM25_2017,XACTCM75_2017,ACTCM75_2017,XACTEN25_2017,ACTEN25_2017,XACTEN75_2017,ACTEN75_2017,XACTMT25_2017,ACTMT25_2017,XACTMT75_2017,ACTMT75 _2017,ADMCON1_2015,ADMCON2_2015,ADMCON3_2015,ADMCON4_2015,ADMCON5_2015,ADMCON6_2015,ADMCON7_2015,ADMCON8_2015,ADMCON9_2015,XAPPLCN_2015,APPLCN_2015,XAPPLCNM_2015,APPLCNM_2015,XAPPLCNW_2015,APPLCNW_2015,XADMSSN_2015,ADMSSN_2015,XADMSSNM_2015,ADMSSNM_2015,XADMSSNW_2015,ADMSSNW_2015,XENRLT_2015,ENRLT_2015,XENRLM_2015,ENRLM_2015,XENRLW_2015,ENRLW_2015,XENRLFT_2015,ENRLFT_2015,XENRLFTM_2015,ENRLFTM_2015,XENRLFTW_2015,ENRLFTW_2015,XENRLPT_2015,ENRLPT_2015,XENRLPTM_2015,ENRLPTM_2015,XENRLPTW_2015,ENRLPTW_2015,XSATNUM_2015,SATNUM_2015,XSATPCT_2015,SATPCT_2015,XACTNUM_2015,ACTNUM_2015,XACTPCT_2015,ACTPCT_2015,XSATVR25_2015,SATVR25_2015,XSATVR75_2015,SATVR75_2015,XSATMT25_2015,SATMT25_2015,XSATMT75_2015,SATMT75_2015,XSATWR25_2015,SATWR25_2015,XSATWR75_2015,SATWR75_2015,XACTCM25_2015,ACTCM25_2015,XACTCM75_2015,ACTCM75_2015,XACTEN25_2015,ACTEN25_2015,XACTEN75_2015,ACTEN75_2015,XACTMT25_2015,ACTMT25_2015,XACTMT75_2015,ACTMT75_2015,XACTWR25_2015,ACTWR25_2015,XACTWR75_2015,ACTWR75 _2015,ADMCON1_2016,ADMCON2_2016,ADMCON3_2016,ADMCON4_2016,ADMCON5_2016,ADMCON6_2016,ADMCON7_2016,ADMCON8_2016,ADMCON9_2016,XAPPLCN_2016,APPLCN_2016,XAPPLCNM_2016,APPLCNM_2016,XAPPLCNW_2016,APPLCNW_2016,XADMSSN_2016,ADMSSN_2016,XADMSSNM_2016,ADMSSNM_2016,XADMSSNW_2016,ADMSSNW_2016,XENRLT_2016,ENRLT_2016,XENRLM_2016,ENRLM_2016,XENRLW_2016,ENRLW_2016,XENRLFT_2016,ENRLFT_2016,XENRLFTM_2016,ENRLFTM_2016,XENRLFTW_2016,ENRLFTW_2016,XENRLPT_2016,ENRLPT_2016,XENRLPTM_2016,ENRLPTM_2016,XENRLPTW_2016,ENRLPTW_2016,XSATNUM_2016,SATNUM_2016,XSATPCT_2016,SATPCT_2016,XACTNUM_2016,ACTNUM_2016,XACTPCT_2016,ACTPCT_2016,XSATVR25_2016,SATVR25_2016,XSATVR75_2016,SATVR75_2016,XSATMT25_2016,SATMT25_2016,XSATMT75_2016,SATMT75_2016,XACTCM25_2016,ACTCM25_2016,XACTCM75_2016,ACTCM75_2016,XACTEN25_2016,ACTEN25_2016,XACTEN75_2016,ACTEN75_2016,XACTMT25_2016,ACTMT25_2016,XACTMT75_2016,ACTMT75 _2016
100654,1,2,1,2,3,2,1,1,3,R,8610,R,3066,R,5544,R,7772,R,2704,R,5068,R,1294,R,518,R,776,R,1288,R,515,R,773,R,6,R,3,R,3,R,21,R,1,R,1270,R,88,R,365,R,485,R,360,R,495,R,16,R,19,R,14,R,20,R,15,R,18,1,2,1,2,3,2,1,1,3,R,7901,R,3030,R,4871,R,5166,R,1999,R,3167,R,1461,R,654,R,807,R,1451,R,646,R,805,R,10,R,8,R,2,R,136,R,9,R,1375,R,94,R,383,R,470,R,360,R,480,R,370,R,457,R,16,R,19,R,14,R,20,R,15,R,18,A,,A,,1,2,1,2,3,2,1,1,3,R,7043,R,2725,R,4318,R,6154,R,2276,R,3878,R,1568,R,652,R,916,R,1536,R,639,R,897,R,32,R,13,R,19,R,217,R,14,R,1433,R,91,R,380,R,470,R,370,R,470,R,16,R,19,R,14,R,20,R,15,R,18
100663,1,3,1,1,3,3,1,3,3,R,7555,R,2729,R,4826,R,6936,R,2487,R,4449,R,2299,R,861,R,1438,R,2228,R,833,R,1395,R,71,R,28,R,43,R,15,R,1,R,2093,R,94,R,440,R,630,R,550,R,740,R,21,R,28,R,22,R,31,R,21,R,26,1,3,1,1,3,3,1,3,3,R,7672,R,2686,R,4986,R,4636,R,1710,R,2926,R,1621,R,639,R,982,R,1593,R,625,R,968,R,28,R,14,R,14,R,106,R,7,R,1497,R,92,R,520,R,630,R,520,R,668,A,,A,,R,22,R,28,R,22,R,30,R,19,R,26,A,,A,,1,3,1,1,3,3,1,3,3,R,9459,R,3510,R,5949,R,5499,R,2062,R,3437,R,2021,R,758,R,1263,R,1948,R,730,R,1218,R,73,R,28,R,45,R,85,R,4,R,1849,R,92,R,480,R,640,R,490,R,660,R,21,R,28,R,22,R,30,R,19,R,26
100706,1,2,1,1,3,2,1,1,3,R,4454,R,2466,R,1988,R,3618,R,2082,R,1536,R,1352,R,867,R,485,R,1341,R,860,R,481,R,11,R,7,R,4,R,29,R,2,R,1292,R,96,R,550,R,660,R,530,R,670,R,25,R,31,R,25,R,33,R,24,R,29,1,2,1,1,3,2,1,1,3,R,3308,R,1801,R,1507,R,2686,R,1509,R,1177,R,1038,R,625,R,413,R,1027,R,616,R,411,R,11,R,9,R,2,R,183,R,18,R,975,R,94,R,520,R,650,R,550,R,680,A,,A,,R,24,R,30,R,24,R,32,R,24,R,29,A,,A,,1,2,1,1,3,2,1,1,3,R,4545,R,2385,R,2160,R,3467,R,1930,R,1537,R,1213,R,735,R,478,R,1203,R,731,R,472,R,10,R,4,R,6,R,166,R,14,R,1152,R,95,R,520,R,660,R,540,R,680,R,25,R,31,R,24,R,33,R,23,R,29
100724,1,3,2,3,3,3,1,1,3,R,6842,R,2136,R,4515,R,6696,R,2071,R,4438,R,967,R,357,R,610,R,951,R,349,R,602,R,16,R,8,R,8,R,173,R,18,R,826,R,85,R,380,R,485,R,375,R,481,R,16,R,20,R,15,R,19,R,14,R,19,1,3,2,3,3,3,1,1,3,R,8356,R,2914,R,5442,R,3876,R,1246,R,2630,R,1021,R,399,R,622,R,1008,R,394,R,614,R,13,R,5,R,8,R,212,R,21,R,894,R,88,R,370,R,450,R,360,R,460,A,,A,,R,16,R,19,R,14,R,19,R,15,R,17,A,,A,,1,3,2,3,3,3,1,1,3,R,9053,R,2967,R,6086,R,4155,R,1293,R,2862,R,1172,R,434,R,738,R,1152,R,428,R,724,R,20,R,6,R,14,R,178,R,15,R,1042,R,89,R,370,R,460,R,360,R,460,R,15,R,19,R,14,R,19,R,15,R,17
100751,1,2,1,1,3,3,1,1,3,R,38129,R,14705,R,23424,R,20321,R,7992,R,12329,R,7407,R,3167,R,4240,R,7385,R,3157,R,4228,R,22,R,10,R,12,R,1397,R,19,R,5981,R,81,R,530,R,640,R,520,R,640,R,23,R,32,R,23,R,33,R,21,R,29,1,2,1,1,3,3,1,1,3,R,36203,R,13795,R,22408,R,19400,R,7345,R,12055,R,7211,R,3017,R,4194,R,7176,R,3005,R,4171,R,35,R,12,R,23,R,1536,R,21,R,5599,R,78,R,490,R,600,R,490,R,610,R,480,R,600,R,22,R,31,R,22,R,32,R,21,R,29,R,7,R,8,1,2,1,1,3,3,1,1,3,R,38237,R,14846,R,23391,R,20107,R,7819,R,12288,R,7559,R,3255,R,4304,R,7541,R,3246,R,4295,R,18,R,9,R,9,R,1459,R,19,R,6062,R,80,R,490,R,610,R,490,R,620,R,23,R,31,R,23,R,33,R,22,R,29
100830,1,2,1,3,3,3,1,1,3,R,2454,R,823,R,1631,R,2022,R,697,R,1325,R,652,R,258,R,394,R,627,R,247,R,380,R,25,R,11,R,14,R,26,R,4,R,563,R,86,R,485,R,573,R,485,R,553,R,19,R,24,R,19,R,24,R,17,R,22,1,2,1,3,3,3,1,1,3,R,2494,R,800,R,1694,R,1963,R,640,R,1323,R,620,R,234,R,386,R,568,R,211,R,357,R,52,R,23,R,29,R,21,R,4,R,549,R,94,R,450,R,520,R,470,R,540,A,,A,,R,19,R,23,R,19,R,25,R,17,R,22,A,,A,,1,2,1,3,3,3,1,1,3,R,2905,R,1021,R,1884,R,2225,R,786,R,1439,R,594,R,226,R,368,R,558,R,212,R,346,R,36,R,14,R,22,R,11,R,2,R,547,R,92,R,435,R,495,R,445,R,495,R,19,R,24,R,19,R,24,R,17,R,22
100858,1,2,1,1,2,3,1,1,3,R,18072,R,7841,R,10231,R,15168,R,6576,R,8592,R,4836,R,2261,R,2575,R,4771,R,2216,R,2555,R,65,R,45,R,20,R,572,R,12,R,4215,R,87,R,570,R,650,R,560,R,660,R,24,R,30,R,24,R,32,R,23,R,28,1,2,1,1,2,3,1,1,3,R,19414,R,8386,R,11028,R,15077,R,6522,R,8555,R,4902,R,2304,R,2598,R,4855,R,2279,R,2576,R,47,R,25,R,22,R,687,R,14,R,4190,R,85,R,530,R,630,R,540,R,650,R,520,R,620,R,24,R,30,R,25,R,32,R,23,R,28,R,7,R,8,1,2,1,1,2,3,1,1,3,R,18256,R,7886,R,10370,R,14704,R,6314,R,8390,R,4529,R,2147,R,2382,R,4487,R,2129,R,2358,R,42,R,18,R,24,R,552,R,12,R,3930,R,87,R,530,R,620,R,530,R,640,R,24,R,30,R,25,R,32,R,23,R,28
100937,1,1,1,3,1,3,1,1,3,R,2559,R,1098,R,1461,R,1583,R,726,R,857,R,349,R,183,R,166,R,349,R,183,R,166,A,,A,,A,,R,65,R,18,R,296,R,83,R,520,R,630,R,510,R,630,R,23,R,29,R,23,R,31,R,22,R,27,1,1,1,3,1,3,1,1,3,R,3679,R,1525,R,2154,R,1952,R,873,R,1079,R,441,R,220,R,221,R,441,R,220,R,221,A,,A,,A,,R,95,R,22,R,405,R,92,R,480,R,590,R,500,R,610,A,,A,,R,23,R,29,R,23,R,30,R,22,R,28,A,,A,,1,1,1,3,1,3,1,1,3,R,3722,R,1525,R,2197,R,1801,R,818,R,983,R,328,R,166,R,162,R,328,R,166,R,162,A,,A,,A,,R,69,R,21,R,297,R,91,R,500,R,610,R,490,R,570,R,23,R,28,R,22,R,29,R,22,R,26
101189,1,2,1,3,2,3,1,2,3,R,2335,R,878,R,1457,R,1191,R,484,R,707,R,333,R,162,R,171,R,311,R,153,R,158,R,22,R,9,R,13,R,36,R,11,R,266,R,80,R,460,R,590,R,460,R,560,R,18,R,22,R,17,R,23,R,16,R,22,1,2,1,3,2,3,1,2,3,R,1712,R,748,R,964,R,981,R,459,R,522,R,297,R,176,R,121,R,280,R,169,R,111,R,17,R,7,R,10,R,34,R,11,R,238,R,80,R,430,R,520,R,440,R,510,R,430,R,510,R,18,R,24,R,18,R,24,R,16,R,23,A,,A,,1,2,1,3,2,3,1,2,3,R,2446,R,980,R,1466,R,1110,R,474,R,636,R,312,R,168,R,144,R,297,R,160,R,137,R,15,R,8,R,7,R,18,R,6,R,263,R,94,R,430,R,570,R,450,R,550,R,18,R,23,R,16,R,24,R,16,R,22
101365,3,3,1,3,3,3,2,2,1,R,107,R,36,R,71,R,81,R,34,R,47,R,51,R,28,R,23,R,8,R,1,R,7,R,43,R,27,R,16,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,3,3,1,3,3,3,2,2,1,R,109,R,76,R,33,R,104,R,76,R,28,R,70,R,54,R,16,R,23,R,18,R,5,R,47,R,36,R,11,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,3,3,1,3,3,3,2,2,1,R,79,R,29,R,50,R,77,R,29,R,48,R,65,R,26,R,39,R,10,R,2,R,8,R,55,R,24,R,31,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
