INSTNM,CTOTALT_2018,CTOTALT_2017,CTOTALT_2016,CTOTALT_2015,CTOTALT_2014,Avg_completion_5yrs,STUFACR _2017,EFYTOTLT_2018,EFYTOTLT_2017,EFYTOTLT_2016,EFYTOTLT_2015,EFYTOTLT_2014,Avg_12mEnroll_5yrs,CDACTUA_2017,CDACTUA_2017,CDACTUA_2016,CDACTUA_2015,CDACTUA_2014,Avg_12mEnrollInst_5yrs,FTEUG_2018,FTEUG_2017,FTEUG_2016,FTEUG_2015,FTEUG_2014,Avg_12mEnrollfte_5yrs,EFTOTLT_2017,EFTOTLT_2016,EFTOTLT_2015,EFTOTLT_2014,EFTOTLT_2013,Avg_FallEnroll_efatotal_5yrs,APPLCN_2017,ADMSSN_2017,ENRLT_2017,ENRLFT_2017,ENRLPT_2017,ACTMT25_2017,SATMT75_2017,SATMT25_2017,ACTMT75 _2017,UPGRNTN_1617,UPGRNTP_1617,UPGRNTT_1617,UPGRNTA_1617,UFLOANN_1617,UFLOANP_1617,UFLOANT_1617,UFLOANA_1617,GISTT2_1617,GISTA2_1617,GISTT1_1617,GISTA1_1617,GISTT0_1617,GISTA0_1617,GIS4T2_1617,GIS4A2_1617,GIS4N22_1617,GIS4G22_1617,GIS4T22_1617,GIS4A22_1617,GIS4N32_1617,GIS4G32_1617,GIS4T32_1617,GIS4A32_1617,GIS4N42_1617,GIS4G42_1617,GIS4T42_1617,GIS4A42_1617,NPGRN2_1617,NPGRN1_1617,NPGRN0_1617,NPT412_1617,NPT422_1617,NPT432_1617,NPT442_1617,NPT452_1617,NPT411_1617,NPT421_1617,NPT431_1617,NPT441_1617,NPT451_1617,NPT410_1617,NPT420_1617,NPT430_1617,NPT440_1617,NPT450  _1617
West Coast University-Orange County,586.0,547.0,461.0,372.0,357.0,464.6,13.0,3072.0,2646.0,2365.0,2134.0,1974.0,2438.2,67069.0,67069.0,62332.0,55810.0,56744.0,62988.6,2433.0,2236.0,2078.0,1860.0,1891.0,2099.6,1973.0,1870.0,1705.0,1477.0,1528.0,1710.6,30.0,29.0,12.0,12.0,,,,,,810.0,43.0,3087552.0,3812.0,1591.0,85.0,14753852.0,9273.0,,,,,,,,,,,,,,,,,,,,,39095.0,44661.0,35797.0,36046.0,,43602.0,48737.0,48737.0,46287.0,44915.0,,49873.0,49873.0,,31698.0,45369.0,46462.0,46462.0
University of Phoenix-California,176.0,242.0,255.0,514.0,533.0,344.0,20.0,9643.0,13757.0,17967.0,24235.0,29540.0,19028.4,230774.0,230774.0,320269.0,436085.0,542530.0,339294.8,5561.0,7692.0,10676.0,14536.0,18084.0,11309.8,8125.0,11035.0,15035.0,19688.0,,13470.75,,,,,,,,,,4270.0,39.0,16234268.0,3802.0,3984.0,36.0,40360090.0,10131.0,,,,,,,,,,,,,,,,,,,,,15460.0,18059.0,17881.0,15181.0,14387.0,17683.0,16633.0,,17662.0,16448.0,19485.0,22090.0,,17548.0,18850.0,19642.0,19099.0,21875.0
California State University-Fullerton,215.0,281.0,266.0,254.0,255.0,254.2,25.0,40621.0,38279.0,36593.0,35102.0,34492.0,37017.4,882438.0,882438.0,852250.0,830717.0,824337.0,869706.4,31960.0,29415.0,28408.0,27691.0,27478.0,28990.4,35162.0,34576.0,33144.0,32726.0,33116.0,33744.8,45808.0,20943.0,4437.0,4305.0,132.0,18.0,590.0,510.0,25.0,16211.0,47.0,70507913.0,4349.0,10414.0,30.0,65577328.0,6297.0,25913109.0,8449.0,23922787.0,8529.0,24101197.0,8209.0,23878788.0,8792.0,543.0,543.0,6209601.0,11436.0,488.0,477.0,3664545.0,7509.0,315.0,287.0,1052789.0,3342.0,,,,,,,,,,,,,,,,,,
California State University-Long Beach,217.0,226.0,252.0,214.0,196.0,221.0,23.0,34141.0,34415.0,34062.0,33438.0,32516.0,33714.4,836098.0,836098.0,824713.0,807700.0,782129.0,820618.6,28415.0,27870.0,27490.0,26923.0,26071.0,27353.8,31566.0,32345.0,32195.0,31642.0,30593.0,31668.2,63048.0,17650.0,4138.0,4073.0,65.0,19.0,620.0,510.0,27.0,16431.0,51.0,72709412.0,4425.0,11191.0,35.0,68766171.0,6145.0,25534970.0,8441.0,24860607.0,8172.0,24620393.0,7976.0,23387956.0,8681.0,507.0,506.0,5657248.0,11158.0,537.0,527.0,4041723.0,7526.0,292.0,254.0,904775.0,3099.0,,,,,,,,,,,,,,,,,,
California State University-Dominguez Hills,143.0,176.0,180.0,205.0,240.0,188.8,25.0,14480.0,13181.0,13040.0,13013.0,12977.0,13338.2,296267.0,296267.0,294974.0,284499.0,278971.0,297848.2,11151.0,9876.0,9832.0,9483.0,9299.0,9928.2,13278.0,12685.0,12620.0,12682.0,12481.0,12749.2,17385.0,9333.0,1678.0,1635.0,43.0,,,,,7857.0,62.0,33738040.0,4294.0,4257.0,34.0,28818016.0,6770.0,10184311.0,9378.0,10497611.0,9684.0,10752222.0,9592.0,9582354.0,9808.0,202.0,202.0,2252893.0,11153.0,160.0,154.0,1086455.0,6790.0,61.0,48.0,182663.0,2994.0,,,,,,,,,,,,,,,,,,
California State University-Los Angeles,177.0,182.0,227.0,105.0,88.0,155.8,25.0,25757.0,24862.0,24156.0,22839.0,20353.0,23593.4,605927.0,605927.0,911366.0,810182.0,702017.0,735333.4,21573.0,20198.0,20253.0,18004.0,15600.0,19125.6,24818.0,24074.0,23458.0,20681.0,19589.0,22524.0,37396.0,17369.0,3556.0,3405.0,151.0,16.0,540.0,440.0,21.0,16126.0,67.0,74896712.0,4644.0,7859.0,33.0,48155853.0,6127.0,30765804.0,9534.0,27651659.0,9476.0,26392291.0,10574.0,28743675.0,9820.0,635.0,634.0,6333976.0,9975.0,409.0,395.0,2925967.0,7154.0,180.0,153.0,550535.0,3059.0,,,,,,,,,,,,,,,,,,
Concordia University-Irvine,86.0,101.0,80.0,89.0,97.0,90.6,17.0,2046.0,2112.0,2230.0,2267.0,2179.0,2166.8,58104.0,58104.0,59867.0,59848.0,59406.0,58664.0,1870.0,1937.0,1996.0,1995.0,2010.0,1961.6,1833.0,1925.0,1939.0,1918.0,1944.0,1911.8,4979.0,2910.0,328.0,328.0,0.0,18.0,590.0,500.0,26.0,527.0,27.0,2363035.0,4484.0,1175.0,61.0,8817114.0,7504.0,,,,,,,,,,,,,,,,,,,,,25094.0,26180.0,26643.0,19675.0,19970.0,21139.0,24482.0,29498.0,20332.0,22206.0,21799.0,25394.0,31475.0,21798.0,22214.0,23084.0,27081.0,30789.0
American University of Health Sciences,55.0,61.0,,,,58.0,16.0,397.0,325.0,354.0,350.0,344.0,354.0,10835.0,10835.0,11996.0,12595.0,12030.0,12041.2,283.0,241.0,267.0,280.0,267.0,267.6,249.0,261.0,251.0,274.0,280.0,263.0,2.0,2.0,2.0,2.0,,,,,,125.0,48.0,494193.0,3954.0,192.0,74.0,1992362.0,10377.0,,,,,,,,,,,,,,,,,,,,,15138.0,18079.0,18063.0,12627.0,,,17454.0,17746.0,,,,,18079.0,,,,,18063.0
Biola University,39.0,41.0,38.0,38.0,39.0,39.0,14.0,4203.0,4256.0,4437.0,4552.0,4599.0,4409.4,119269.0,119269.0,128194.0,130817.0,128177.0,124407.8,3853.0,3976.0,4273.0,4361.0,4273.0,4147.2,4048.0,4091.0,4230.0,4373.0,4331.0,4214.6,3926.0,2826.0,891.0,890.0,1.0,20.0,640.0,520.0,27.0,1221.0,30.0,5313377.0,4352.0,2402.0,59.0,16548805.0,6890.0,,,,,,,,,,,,,,,,,,,,,33206.0,32273.0,32607.0,24981.0,27039.0,30467.0,32577.0,36232.0,24595.0,25732.0,29007.0,31419.0,37675.0,25382.0,26527.0,28864.0,33479.0,37666.0
Pacific College,30.0,41.0,26.0,20.0,9.0,25.2,21.0,513.0,405.0,429.0,369.0,390.0,421.2,10622.0,10622.0,8247.0,10500.0,11200.0,9934.4,307.0,371.0,316.0,350.0,373.0,343.4,350.0,360.0,252.0,274.0,277.0,302.6,,,,,,,,,,259.0,64.0,1208162.0,4665.0,336.0,83.0,2362985.0,7033.0,,,,,,,,,,,,,,,,,,,,,16541.0,13070.0,9745.0,14533.0,16299.0,17574.0,,,9752.0,13307.0,13837.0,,,7358.0,10870.0,11358.0,,
