INSTNM,AWLEVEL,LATITUDE,LONGITUD,distance (in miles),CTOTALT_2018,CTOTALT_2017,CTOTALT_2016,CTOTALT_2015,CTOTALT_2014,Avg_completion_5yrs,STUFACR _2017,EFYTOTLT_2018,EFYTOTLT_2017,EFYTOTLT_2016,EFYTOTLT_2015,EFYTOTLT_2014,Avg_12mEnroll_5yrs,CDACTUA_2017,CDACTUA_2017,CDACTUA_2016,CDACTUA_2015,CDACTUA_2014,Avg_12mEnrollInst_5yrs,FTEUG_2018,FTEUG_2017,FTEUG_2016,FTEUG_2015,FTEUG_2014,Avg_12mEnrollfte_5yrs,EFTOTLT_2017,EFTOTLT_2016,EFTOTLT_2015,EFTOTLT_2014,EFTOTLT_2013,Avg_FallEnroll_efatotal_5yrs,APPLCN_2017,ADMSSN_2017,ENRLT_2017,ENRLFT_2017,ENRLPT_2017,ACTMT25_2017,SATMT75_2017,SATMT25_2017,ACTMT75 _2017,UPGRNTN_1617,UPGRNTP_1617,UPGRNTT_1617,UPGRNTA_1617,UFLOANN_1617,UFLOANP_1617,UFLOANT_1617,UFLOANA_1617,GISTT2_1617,GISTA2_1617,GISTT1_1617,GISTA1_1617,GISTT0_1617,GISTA0_1617,GIS4T2_1617,GIS4A2_1617,GIS4N22_1617,GIS4G22_1617,GIS4T22_1617,GIS4A22_1617,GIS4N32_1617,GIS4G32_1617,GIS4T32_1617,GIS4A32_1617,GIS4N42_1617,GIS4G42_1617,GIS4T42_1617,GIS4A42_1617,NPGRN2_1617,NPGRN1_1617,NPGRN0_1617,NPT412_1617,NPT422_1617,NPT432_1617,NPT442_1617,NPT452_1617,NPT411_1617,NPT421_1617,NPT431_1617,NPT441_1617,NPT451_1617,NPT410_1617,NPT420_1617,NPT430_1617,NPT440_1617,NPT450  _1617
Miami Dade College,3,25.777717000000006,-80.19085600000003,10.016905815088066,531.0,595.0,478.0,490.0,557.0,530.2,19.0,88475.0,88312.0,91749.0,95821.0,97341.0,92339.6,1330518.0,1330518.0,1439563.0,1508894.0,1544273.0,1440064.2,46554.0,45399.0,48705.0,51075.0,52309.0,48808.4,56001.0,55206.0,62332.0,66046.0,66298.0,61176.6,,,,,,,,,,27149.0,49.0,107785817.0,3970.0,3363.0,6.0,23310080.0,6931.0,31323753.0,5198.0,34511359.0,5540.0,35004145.0,5224.0,28673603.0,5457.0,970.0,967.0,4848005.0,4998.0,330.0,326.0,1277593.0,3871.0,43.0,28.0,102910.0,2393.0,,,,,,,,,,,,,,,,,,
Keiser University-Ft Lauderdale,3,26.185869,-80.16395899999998,28.32011717475113,559.0,450.0,464.0,511.0,446.0,486.0,12.0,31911.0,31711.0,32937.0,31000.0,32135.0,31938.8,793224.0,793224.0,607862.0,614007.0,624170.0,686701.8,26475.0,26441.0,20262.0,20467.0,20806.0,22890.2,18630.0,18172.0,15310.0,18101.0,16039.0,17250.4,,,,,,,,,,10480.0,61.0,43035939.0,4106.0,11939.0,69.0,126074745.0,10560.0,,,,,,,,,,,,,,,,,,,,,26730.0,27516.0,27190.0,28809.0,29097.0,30854.0,32056.0,32111.0,27386.0,28025.0,29572.0,30820.0,31158.0,28372.0,28893.0,29966.0,30683.0,30922.0
Nova Southeastern University,5,26.079337,-80.24248,19.6769448565569,411.0,403.0,436.0,349.0,407.0,401.2,17.0,5026.0,4840.0,5136.0,5400.0,5780.0,5236.4,119598.0,119598.0,122951.0,125567.0,130967.0,124633.6,4136.0,3987.0,4098.0,4186.0,4366.0,4154.6,4497.0,4295.0,4641.0,4699.0,5156.0,4657.6,7779.0,4525.0,987.0,977.0,10.0,22.0,640.0,530.0,28.0,1747.0,41.0,7445444.0,4262.0,2333.0,54.0,21397505.0,9172.0,,,,,,,,,,,,,,,,,,,,,26740.0,25344.0,23638.0,24053.0,24841.0,26360.0,28524.0,28866.0,22993.0,22271.0,24266.0,26834.0,27321.0,21083.0,22580.0,23400.0,27718.0,26046.0
Broward College,3,26.119422,-80.14183,24.86830451655035,296.0,303.0,266.0,326.0,383.0,314.8,27.0,60896.0,62013.0,63024.0,63389.0,62508.0,62366.0,878728.0,878728.0,895229.0,894803.0,911117.0,887174.2,28912.0,29764.0,30311.0,30345.0,30835.0,30033.4,40754.0,43700.0,43078.0,44119.0,43883.0,43106.8,,,,,,,,,,21595.0,49.0,71045177.0,3290.0,6345.0,15.0,21268961.0,3352.0,12872474.0,4881.0,15457734.0,4840.0,15388526.0,5089.0,10832665.0,4212.0,583.0,572.0,2486366.0,4265.0,354.0,317.0,979704.0,2768.0,104.0,36.0,76858.0,739.0,,,,,,,,,,,,,,,,,,
Florida International University,5,25.75732,-80.373928,4.034913388197925,348.0,373.0,260.0,301.0,290.0,314.4,27.0,58244.0,55835.0,55100.0,55173.0,53525.0,55575.4,1117621.0,1117621.0,1095364.0,1087712.0,1069136.0,1105170.2,38534.0,37254.0,36512.0,36257.0,35638.0,36839.0,47629.0,45856.0,41032.0,41009.0,39142.0,42933.6,19757.0,10683.0,4335.0,2512.0,1823.0,21.0,610.0,530.0,25.0,22395.0,49.0,87461681.0,3905.0,17795.0,39.0,129201008.0,7261.0,22087627.0,6667.0,16764438.0,5903.0,19754690.0,7374.0,21169745.0,6552.0,497.0,496.0,3980050.0,8008.0,459.0,454.0,2639298.0,5750.0,418.0,380.0,1642032.0,3928.0,,,,,,,,,,,,,,,,,,
Miami Dade College,5,25.777717000000006,-80.19085600000003,10.016905815088066,282.0,311.0,332.0,339.0,260.0,304.8,19.0,88475.0,88312.0,91749.0,95821.0,97341.0,92339.6,1330518.0,1330518.0,1439563.0,1508894.0,1544273.0,1440064.2,46554.0,45399.0,48705.0,51075.0,52309.0,48808.4,56001.0,55206.0,62332.0,66046.0,66298.0,61176.6,,,,,,,,,,27149.0,49.0,107785817.0,3970.0,3363.0,6.0,23310080.0,6931.0,31323753.0,5198.0,34511359.0,5540.0,35004145.0,5224.0,28673603.0,5457.0,970.0,967.0,4848005.0,4998.0,330.0,326.0,1277593.0,3871.0,43.0,28.0,102910.0,2393.0,,,,,,,,,,,,,,,,,,
Miami Regional University,3,25.810667,-80.26700699999998,5.01609049550258,381.0,305.0,120.0,172.0,186.0,232.8,13.0,1271.0,1260.0,1770.0,1208.0,1156.0,1333.0,37800.0,37800.0,31620.0,32932.0,37802.0,31133.2,517.0,1260.0,1054.0,1098.0,1260.0,1037.8,638.0,1017.0,943.0,708.0,822.0,825.6,470.0,396.0,396.0,122.0,274.0,,,,,399.0,32.0,1387708.0,3478.0,741.0,59.0,4511369.0,6088.0,,,,,,,,,,,,,,,,,,,,,26132.0,30232.0,26875.0,20252.0,20501.0,20806.0,20842.0,15499.0,21412.0,24877.0,25142.0,,,21287.0,24299.0,24562.0,24562.0,
University of Miami,5,25.72126,-80.278662,7.524966324571519,174.0,181.0,167.0,171.0,194.0,177.4,12.0,11984.0,12002.0,12243.0,12432.0,12325.0,12197.2,321135.0,321135.0,328181.0,330625.0,324191.0,325310.2,10747.0,10705.0,10939.0,11021.0,10806.0,10843.6,10832.0,10792.0,11060.0,11175.0,11380.0,11047.8,30638.0,10939.0,2212.0,2185.0,27.0,26.0,720.0,610.0,32.0,1518.0,14.0,7006641.0,4616.0,2823.0,26.0,16319770.0,5781.0,,,,,,,,,,,,,,,,,,,,,42204.0,37424.0,35444.0,22641.0,15596.0,19779.0,25551.0,39815.0,26911.0,18903.0,23046.0,28385.0,37351.0,25202.0,24745.0,30380.0,31921.0,39742.0
SABER College,3,25.771518,-80.261299,6.015921755640838,181.0,174.0,232.0,194.0,103.0,176.8,28.0,473.0,675.0,813.0,834.0,748.0,708.6,15615.0,15615.0,15584.0,16511.0,14156.0,14703.8,388.0,521.0,519.0,550.0,472.0,490.0,342.0,553.0,553.0,600.0,544.0,518.4,147.0,127.0,75.0,75.0,,,,,,577.0,85.0,3022549.0,5238.0,577.0,85.0,6102025.0,10575.0,,,,,,,,,,,,,,,,,,,,,15595.0,15785.0,14778.0,15801.0,15409.0,,,,17155.0,17161.0,17140.0,,,14702.0,15507.0,16353.0,,
Barry University,5,25.878908,-80.198925,10.3793776705044,62.0,122.0,161.0,157.0,119.0,124.2,13.0,3935.0,4191.0,4403.0,4722.0,5076.0,4465.4,99332.0,99332.0,104196.0,112054.0,118131.0,105633.2,3148.0,3311.0,3473.0,3735.0,3938.0,3521.0,3505.0,3541.0,3776.0,3996.0,4341.0,3831.8,5123.0,4358.0,604.0,604.0,0.0,16.0,500.0,410.0,20.0,1638.0,46.0,7087709.0,4327.0,2105.0,59.0,17542709.0,8334.0,,,,,,,,,,,,,,,,,,,,,21547.0,21489.0,24660.0,18648.0,17569.0,20273.0,23970.0,26987.0,17981.0,17255.0,23647.0,24957.0,31616.0,22047.0,21820.0,25308.0,28944.0,29351.0
