,UNITID,XCDACTUA_2018,CDACTUA_2018,XCNACTUA_2018,CNACTUA_2018,XCDACTGA_2018,CDACTGA_2018,XEFTEUG_2018,EFTEUG_2018,XEFTEGD_2018,EFTEGD_2018,XFTEUG_2018,FTEUG_2018,XFTEGD_2018,FTEGD_2018,XFTEDPP_2018,FTEDPP_2018,ACTTYPE _2018,XCDACTUA_2014,CDACTUA_2014,XCNACTUA_2014,CNACTUA_2014,XCDACTGA_2014,CDACTGA_2014,XEFTEUG_2014,EFTEUG_2014,XEFTEGD_2014,EFTEGD_2014,XFTEUG_2014,FTEUG_2014,XFTEGD_2014,FTEGD_2014,XFTEDPP_2014,FTEDPP_2014,ACTTYPE _2014,XCDACTUA_2015,CDACTUA_2015,XCNACTUA_2015,CNACTUA_2015,XCDACTGA_2015,CDACTGA_2015,XEFTEUG_2015,EFTEUG_2015,XEFTEGD_2015,EFTEGD_2015,XFTEUG_2015,FTEUG_2015,XFTEGD_2015,FTEGD_2015,XFTEDPP_2015,FTEDPP_2015,ACTTYPE _2015,XCDACTUA_2016,CDACTUA_2016,XCNACTUA_2016,CNACTUA_2016,XCDACTGA_2016,CDACTGA_2016,XEFTEUG_2016,EFTEUG_2016,XEFTEGD_2016,EFTEGD_2016,XFTEUG_2016,FTEUG_2016,XFTEGD_2016,FTEGD_2016,XFTEDPP_2016,FTEDPP_2016,ACTTYPE _2016,XCDACTUA_2017,CDACTUA_2017,XCNACTUA_2017,CNACTUA_2017,XCDACTGA_2017,CDACTGA_2017,XEFTEUG_2017,EFTEUG_2017,XEFTEGD_2017,EFTEGD_2017,XFTEUG_2017,FTEUG_2017,XFTEGD_2017,FTEGD_2017,XFTEDPP_2017,FTEDPP_2017,ACTTYPE _2017
0,100654,R,147059.0,A,,R,17966.0,G,4902.0,G,749.0,G,4902.0,G,749.0,A,,2.0,R,109417.0,A,,R,18537.0,G,3647.0,G,772.0,G,3647.0,G,772.0,A,,2.0,R,112169.0,A,,R,20817.0,G,3739.0,G,867.0,G,3739.0,G,867.0,A,,2.0,R,119309.0,A,,R,19878.0,G,3977.0,G,828.0,G,3977.0,G,828.0,A,,2.0,R,129203.0,A,,R,17636.0,G,4307.0,G,735.0,G,4307.0,G,735.0,A,,2.0
1,100663,R,354112.0,A,,R,150353.0,G,11804.0,G,6265.0,G,11804.0,G,6265.0,R,1185.0,2.0,R,303064.0,A,,R,115557.0,G,10102.0,G,4815.0,G,10102.0,G,4815.0,R,1421.0,2.0,R,304681.0,A,,R,117081.0,G,10156.0,G,4878.0,G,10156.0,G,4878.0,R,1504.0,2.0,R,305226.0,A,,R,118385.0,G,10174.0,G,4933.0,G,10174.0,G,4933.0,R,1544.0,2.0,R,328787.0,A,,R,130190.0,G,10960.0,G,5425.0,G,10960.0,G,5425.0,R,1632.0,2.0
2,100690,R,7844.0,A,,R,6139.0,G,261.0,G,256.0,G,261.0,G,256.0,A,,2.0,R,8656.0,A,,R,4546.0,G,289.0,G,189.0,G,289.0,G,189.0,R,65.0,2.0,R,6228.0,A,,R,4446.0,G,208.0,G,185.0,G,208.0,G,185.0,A,,2.0,R,7636.0,A,,R,3780.0,G,255.0,G,158.0,G,255.0,G,158.0,A,,2.0,R,7328.0,A,,R,4901.0,G,244.0,G,204.0,G,244.0,G,204.0,A,,2.0
3,100706,R,193406.0,A,,R,29388.0,G,6447.0,G,1225.0,G,6447.0,G,1225.0,R,123.0,2.0,R,146835.0,A,,R,23754.0,G,4895.0,G,990.0,G,4895.0,R,1038.0,R,37.0,2.0,R,147287.0,A,,R,25653.0,G,4910.0,G,1069.0,G,4910.0,G,1069.0,R,48.0,2.0,R,158702.0,A,,R,27466.0,G,5290.0,G,1144.0,G,5290.0,G,1144.0,R,61.0,2.0,R,175083.0,A,,R,29397.0,G,5836.0,G,1225.0,G,5836.0,G,1225.0,R,89.0,2.0
4,100724,R,124091.0,A,,R,7799.0,G,4136.0,G,325.0,G,4136.0,G,325.0,R,117.0,2.0,R,151550.0,A,,R,10629.0,G,5052.0,G,443.0,G,5052.0,G,443.0,R,314.0,2.0,R,140171.0,A,,R,10332.0,G,4672.0,G,431.0,G,4672.0,G,431.0,R,349.0,2.0,R,139560.0,A,,R,9461.0,G,4652.0,G,394.0,G,4652.0,G,394.0,R,139.0,2.0,R,136382.0,A,,R,8587.0,G,4546.0,G,358.0,G,4546.0,G,358.0,R,125.0,2.0
5,100751,R,960255.0,A,,R,90648.0,G,32009.0,G,3777.0,G,32009.0,G,3777.0,R,612.0,2.0,R,849936.0,A,,R,89349.0,G,28331.0,G,3723.0,G,28331.0,G,3723.0,R,741.0,2.0,R,882991.0,A,,R,90183.0,G,29433.0,G,3758.0,G,29433.0,G,3758.0,R,662.0,2.0,R,918546.0,A,,R,89023.0,G,30618.0,G,3709.0,G,30618.0,G,3709.0,R,658.0,2.0,R,938372.0,A,,R,88091.0,G,31279.0,G,3670.0,G,31279.0,G,3670.0,R,616.0,2.0
6,100760,R,38623.0,A,,A,,G,1287.0,A,,G,1287.0,A,,A,,2.0,R,41455.0,A,,A,,G,1382.0,A,,G,1382.0,A,,A,,2.0,R,41860.0,A,,A,,G,1395.0,A,,G,1395.0,A,,A,,2.0,R,41866.0,A,,A,,G,1396.0,A,,G,1396.0,A,,A,,2.0,R,40210.0,A,,A,,G,1340.0,A,,G,1340.0,A,,A,,2.0
7,100812,R,66301.0,A,,R,1830.0,G,2210.0,G,76.0,G,2210.0,G,76.0,A,,2.0,R,76758.0,A,,A,,G,2559.0,A,,G,2559.0,A,,A,,2.0,R,72945.0,A,,A,,G,2432.0,A,,G,2432.0,A,,A,,2.0,R,69933.0,A,,A,,G,2331.0,A,,G,2331.0,A,,A,,2.0,R,68306.0,A,,R,497.0,G,2277.0,G,21.0,G,2277.0,G,21.0,A,,2.0
8,100830,R,111555.0,A,,R,10005.0,G,3719.0,G,417.0,R,4245.0,R,489.0,A,,2.0,R,108484.0,A,,R,11549.0,G,3616.0,G,481.0,G,3616.0,G,481.0,A,,2.0,R,108042.0,A,,R,10907.0,G,3601.0,G,454.0,G,3601.0,G,454.0,A,,2.0,R,105668.0,A,,R,10483.0,G,3522.0,G,437.0,G,3522.0,G,437.0,A,,2.0,R,105872.0,A,,R,9648.0,G,3529.0,G,402.0,G,3529.0,G,402.0,A,,2.0
9,100858,R,712208.0,A,,R,91269.0,G,23740.0,G,3803.0,G,23740.0,G,3803.0,R,1141.0,2.0,R,578493.0,A,,R,76018.0,G,19283.0,G,3167.0,G,19283.0,G,3167.0,R,1100.0,2.0,R,605252.0,A,,R,80635.0,G,20175.0,G,3360.0,G,20175.0,G,3360.0,R,1120.0,2.0,R,636238.0,A,,R,82027.0,G,21208.0,G,3418.0,G,21208.0,G,3418.0,R,1135.0,2.0,R,671746.0,A,,R,82280.0,G,22392.0,G,3428.0,G,22392.0,G,3428.0,R,1148.0,2.0
