,UNITID,XGRCOHRT_2017,GRCOHRT_2017,XUGENTER_2017,UGENTERN_2017,XPGRCOHR_2017,PGRCOHRT_2017,XRRFTCT_2017,RRFTCT_2017,XRRFTEX_2017,RRFTEX_2017,XRRFTIN_2017,RRFTIN_2017,XRRFTCTA_2017,RRFTCTA_2017,XRET_NMF_2017,RET_NMF_2017,XRET_PCF_2017,RET_PCF_2017,XRRPTCT_2017,RRPTCT_2017,XRRPTEX_2017,RRPTEX_2017,XRRPTIN_2017,RRPTIN_2017,XRRPTCTA_2017,RRPTCTA_2017,XRET_NMP_2017,RET_NMP_2017,XRET_PCP_2017,RET_PCP_2017,XSTUFACR_2017,STUFACR _2017,XGRCOHRT_2013,GRCOHRT_2013,XUGENTER_2013,UGENTERN_2013,XPGRCOHR_2013,PGRCOHRT_2013,XRRFTCT_2013,RRFTCT_2013,XRRFTEX_2013,RRFTEX_2013,XRRFTCTA_2013,RRFTCTA_2013,XRET_NMF_2013,RET_NMF_2013,XRET_PCF_2013,RET_PCF_2013,XRRPTCT_2013,RRPTCT_2013,XRRPTEX_2013,RRPTEX_2013,XRRPTCTA_2013,RRPTCTA_2013,XRET_NMP_2013,RET_NMP_2013,XRET_PCP_2013,RET_PCP_2013,XSTUFACR_2013,STUFACR _2013,XGRCOHRT_2014,GRCOHRT_2014,XUGENTER_2014,UGENTERN_2014,XPGRCOHR_2014,PGRCOHRT_2014,XRRFTCT_2014,RRFTCT_2014,XRRFTEX_2014,RRFTEX_2014,XRRFTCTA_2014,RRFTCTA_2014,XRET_NMF_2014,RET_NMF_2014,XRET_PCF_2014,RET_PCF_2014,XRRPTCT_2014,RRPTCT_2014,XRRPTEX_2014,RRPTEX_2014,XRRPTCTA_2014,RRPTCTA_2014,XRET_NMP_2014,RET_NMP_2014,XRET_PCP_2014,RET_PCP_2014,XSTUFACR_2014,STUFACR _2014,XGRCOHRT_2015,GRCOHRT_2015,XUGENTER_2015,UGENTERN_2015,XPGRCOHR_2015,PGRCOHRT_2015,XRRFTCT_2015,RRFTCT_2015,XRRFTEX_2015,RRFTEX_2015,XRRFTCTA_2015,RRFTCTA_2015,XRET_NMF_2015,RET_NMF_2015,XRET_PCF_2015,RET_PCF_2015,XRRPTCT_2015,RRPTCT_2015,XRRPTEX_2015,RRPTEX_2015,XRRPTCTA_2015,RRPTCTA_2015,XRET_NMP_2015,RET_NMP_2015,XRET_PCP_2015,RET_PCP_2015,XSTUFACR_2015,STUFACR _2015,XGRCOHRT_2016,GRCOHRT_2016,XUGENTER_2016,UGENTERN_2016,XPGRCOHR_2016,PGRCOHRT_2016,XRRFTCT_2016,RRFTCT_2016,XRRFTEX_2016,RRFTEX_2016,XRRFTIN_2016,RRFTIN_2016,XRRFTCTA_2016,RRFTCTA_2016,XRET_NMF_2016,RET_NMF_2016,XRET_PCF_2016,RET_PCF_2016,XRRPTCT_2016,RRPTCT_2016,XRRPTEX_2016,RRPTEX_2016,XRRPTIN_2016,RRPTIN_2016,XRRPTCTA_2016,RRPTCTA_2016,XRET_NMP_2016,RET_NMP_2016,XRET_PCP_2016,RET_PCP_2016,XSTUFACR_2016,STUFACR _2016
0,100654,R,1288.0,R,1604.0,R,80.0,R,1410.0,R,0.0,R,0.0,R,1410.0,R,829.0,R,59.0,R,38.0,R,0.0,R,0.0,R,38.0,R,5.0,R,13.0,R,18.0,R,1088.0,R,1269.0,R,86.0,R,1001.0,Z,0.0,R,1001.0,R,632.0,R,63.0,R,8.0,R,0.0,R,8.0,R,4.0,R,50.0,R,15.0,R,1194.0,R,1392.0,R,86.0,R,1066.0,R,0.0,R,1066.0,R,703.0,R,66.0,R,15.0,R,0.0,R,15.0,R,5.0,R,33.0,R,20.0,R,1222.0,R,1653.0,R,74.0,R,1194.0,R,0.0,R,1194.0,R,690.0,R,58.0,R,13.0,R,0.0,R,13.0,R,4.0,R,31.0,R,19.0,R,1410.0,R,1857.0,R,76.0,R,1222.0,R,0.0,R,0.0,R,1222.0,R,705.0,R,58.0,R,165.0,R,0.0,R,0.0,R,165.0,R,51.0,R,31.0,R,18.0
1,100663,R,2228.0,R,3964.0,R,56.0,R,1931.0,R,0.0,R,0.0,R,1931.0,R,1629.0,R,84.0,R,73.0,R,0.0,R,0.0,R,73.0,R,32.0,R,44.0,R,19.0,R,1732.0,R,3277.0,R,53.0,R,1653.0,R,0.0,R,1653.0,R,1325.0,R,80.0,R,22.0,R,0.0,R,22.0,R,11.0,R,50.0,R,18.0,R,1719.0,R,3410.0,R,50.0,R,1730.0,R,1.0,R,1729.0,R,1433.0,R,83.0,R,40.0,R,0.0,R,40.0,R,23.0,R,58.0,R,18.0,R,1593.0,R,3071.0,R,52.0,R,1718.0,R,0.0,R,1718.0,R,1351.0,R,79.0,R,29.0,R,1.0,R,28.0,R,17.0,R,61.0,R,18.0,R,1948.0,R,3796.0,R,51.0,R,1593.0,R,0.0,R,0.0,R,1593.0,R,1300.0,R,82.0,R,28.0,R,0.0,R,0.0,R,28.0,R,12.0,R,43.0,R,16.0
2,100690,R,5.0,R,240.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,11.0,R,3.0,R,7.0,R,43.0,R,8.0,R,0.0,R,8.0,R,3.0,R,38.0,R,3.0,R,0.0,R,3.0,R,1.0,R,33.0,R,10.0,R,6.0,R,12.0,R,50.0,R,3.0,Z,0.0,R,3.0,R,0.0,R,0.0,R,3.0,Z,0.0,R,3.0,R,2.0,R,67.0,R,10.0,R,16.0,R,77.0,R,21.0,R,3.0,Z,0.0,R,3.0,R,2.0,R,67.0,R,3.0,Z,0.0,R,3.0,R,2.0,R,67.0,R,10.0,R,3.0,R,67.0,R,4.0,R,11.0,R,0.0,R,0.0,R,11.0,R,1.0,R,9.0,R,11.0,R,0.0,R,0.0,R,11.0,R,0.0,R,0.0,R,10.0
3,100706,R,1341.0,R,2260.0,R,59.0,R,1203.0,R,10.0,R,0.0,R,1193.0,R,984.0,R,82.0,R,9.0,R,1.0,R,0.0,R,8.0,R,3.0,R,38.0,R,16.0,R,638.0,R,1474.0,R,43.0,R,615.0,R,0.0,R,615.0,R,498.0,R,81.0,R,9.0,R,0.0,R,9.0,R,4.0,R,44.0,R,16.0,R,714.0,R,1503.0,R,48.0,R,638.0,R,0.0,R,638.0,R,491.0,R,77.0,R,13.0,R,0.0,R,13.0,R,8.0,R,62.0,R,16.0,R,1027.0,R,1858.0,R,55.0,R,714.0,R,0.0,R,714.0,R,573.0,R,80.0,R,10.0,R,0.0,R,10.0,R,4.0,R,40.0,R,16.0,R,1203.0,R,2064.0,R,58.0,R,1027.0,R,1.0,R,0.0,R,1026.0,R,847.0,R,83.0,R,11.0,R,0.0,R,0.0,R,11.0,R,6.0,R,55.0,R,17.0
4,100724,R,951.0,R,1088.0,R,87.0,R,1143.0,R,0.0,R,0.0,R,1143.0,R,677.0,R,59.0,R,20.0,R,0.0,R,0.0,R,20.0,R,7.0,R,35.0,R,15.0,R,1520.0,R,1768.0,R,86.0,R,1436.0,R,0.0,R,1436.0,R,893.0,R,62.0,R,43.0,R,0.0,R,43.0,R,13.0,R,30.0,R,16.0,R,1068.0,R,1212.0,R,88.0,R,1518.0,R,0.0,R,1518.0,R,869.0,R,57.0,R,25.0,Z,0.0,R,25.0,R,7.0,R,28.0,R,16.0,R,1008.0,R,1188.0,R,85.0,R,1068.0,R,0.0,R,1068.0,R,643.0,R,60.0,R,19.0,R,0.0,R,19.0,R,12.0,R,63.0,R,16.0,R,1143.0,R,1340.0,R,85.0,R,1006.0,R,0.0,Z,0.0,R,1006.0,R,630.0,R,63.0,R,13.0,R,0.0,Z,0.0,R,13.0,R,5.0,R,38.0,R,17.0
5,100751,R,7385.0,R,9214.0,R,80.0,R,7541.0,R,3.0,R,0.0,R,7538.0,R,6565.0,R,87.0,R,18.0,R,0.0,R,0.0,R,18.0,R,10.0,R,56.0,R,23.0,R,6428.0,R,8133.0,R,79.0,R,6338.0,R,40.0,R,6298.0,R,5479.0,R,87.0,R,33.0,R,1.0,R,32.0,R,21.0,R,66.0,R,21.0,R,6794.0,R,8615.0,R,79.0,R,6428.0,R,39.0,R,6389.0,R,5539.0,R,87.0,R,26.0,R,1.0,R,25.0,R,15.0,R,60.0,R,21.0,R,7176.0,R,9066.0,R,79.0,R,6794.0,R,1.0,R,6793.0,R,5874.0,R,86.0,R,30.0,R,0.0,R,30.0,R,14.0,R,47.0,R,24.0,R,7541.0,R,9306.0,R,81.0,R,7176.0,R,2.0,Z,0.0,R,7174.0,R,6189.0,R,86.0,R,35.0,R,0.0,R,0.0,R,35.0,R,14.0,R,40.0,R,23.0
6,100760,R,349.0,R,791.0,R,44.0,R,340.0,R,0.0,R,0.0,R,340.0,R,215.0,R,63.0,R,48.0,R,0.0,R,0.0,R,48.0,R,19.0,R,40.0,R,20.0,R,470.0,R,762.0,R,62.0,R,464.0,Z,0.0,R,464.0,R,198.0,R,43.0,R,226.0,Z,0.0,R,226.0,R,94.0,R,42.0,R,17.0,R,518.0,R,782.0,R,66.0,R,470.0,R,0.0,R,470.0,R,231.0,R,49.0,R,91.0,R,0.0,R,91.0,R,46.0,R,51.0,R,17.0,R,392.0,R,668.0,R,59.0,R,457.0,R,0.0,R,457.0,R,239.0,R,52.0,R,63.0,R,0.0,R,63.0,R,34.0,R,54.0,R,17.0,R,337.0,R,676.0,R,50.0,R,392.0,R,0.0,R,0.0,R,392.0,R,242.0,R,62.0,R,49.0,R,0.0,R,0.0,R,49.0,R,17.0,R,35.0,R,18.0
7,100812,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,15.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,17.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,16.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,23.0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,15.0
8,100830,R,627.0,R,1190.0,R,53.0,R,558.0,R,0.0,Z,0.0,R,558.0,R,381.0,R,68.0,R,35.0,R,0.0,R,0.0,R,35.0,R,16.0,R,46.0,R,16.0,R,685.0,R,1202.0,R,57.0,R,579.0,R,0.0,R,579.0,R,366.0,R,63.0,R,77.0,R,0.0,R,77.0,R,35.0,R,45.0,R,16.0,R,637.0,R,1196.0,R,53.0,R,589.0,R,0.0,R,589.0,R,384.0,R,65.0,R,82.0,R,0.0,R,82.0,R,30.0,R,37.0,R,15.0,R,568.0,R,1132.0,R,50.0,R,558.0,R,1.0,R,557.0,R,360.0,R,65.0,R,55.0,R,0.0,R,55.0,R,26.0,R,47.0,R,16.0,R,558.0,R,1123.0,R,50.0,R,568.0,R,1.0,Z,0.0,R,567.0,R,378.0,R,67.0,R,52.0,Z,0.0,Z,0.0,R,52.0,R,25.0,R,48.0,R,14.0
9,100858,R,4771.0,R,6446.0,R,74.0,R,4487.0,R,6.0,R,0.0,R,4481.0,R,4101.0,R,92.0,R,42.0,R,3.0,R,0.0,R,39.0,R,34.0,R,87.0,R,19.0,R,3696.0,R,4813.0,R,77.0,R,3805.0,R,0.0,R,3805.0,R,3404.0,R,89.0,R,34.0,R,0.0,R,34.0,R,29.0,R,85.0,R,18.0,R,4552.0,R,5955.0,R,76.0,R,3693.0,R,0.0,R,3693.0,R,3343.0,R,91.0,R,30.0,R,0.0,R,30.0,R,18.0,R,60.0,R,17.0,R,4854.0,R,6337.0,R,77.0,R,4549.0,R,0.0,R,4549.0,R,4085.0,R,90.0,R,39.0,R,0.0,R,39.0,R,27.0,R,69.0,R,19.0,R,4487.0,R,6228.0,R,72.0,R,4854.0,R,3.0,Z,0.0,R,4851.0,R,4415.0,R,91.0,R,45.0,R,1.0,Z,0.0,R,44.0,R,33.0,R,75.0,R,19.0
