,UNITID,XUGPO9_N_1617,UGPO9_N_1617,XUGPO9_T_1617,UGPO9_T_1617,XUGPO9_A_1617,UGPO9_A_1617,XGPO9_N_1617,GPO9_N_1617,XGPO9_T_1617,GPO9_T_1617,XGPO9_A_1617,GPO9_A_1617,XPO9_N_1617,PO9_N_1617,XPO9_T_1617,PO9_T_1617,XPO9_A_1617,PO9_A_1617,XUGDOD_N_1617,UGDOD_N_1617,XUGDOD_T_1617,UGDOD_T_1617,XUGDOD_A_1617,UGDOD_A_1617,XGDOD_N_1617,GDOD_N_1617,XGDOD_T_1617,GDOD_T_1617,XGDOD_A_1617,GDOD_A_1617,XDOD_N_1617,DOD_N_1617,XDOD_T_1617,DOD_T_1617,XDOD_A_1617,DOD_A   _1617,XUGPO9_N_1415,UGPO9_N_1415,XUGPO9_T_1415,UGPO9_T_1415,XUGPO9_A_1415,UGPO9_A_1415,XGPO9_N_1415,GPO9_N_1415,XGPO9_T_1415,GPO9_T_1415,XGPO9_A_1415,GPO9_A_1415,XPO9_N_1415,PO9_N_1415,XPO9_T_1415,PO9_T_1415,XPO9_A_1415,PO9_A_1415,XUGDOD_N_1415,UGDOD_N_1415,XUGDOD_T_1415,UGDOD_T_1415,XUGDOD_A_1415,UGDOD_A_1415,XGDOD_N_1415,GDOD_N_1415,XGDOD_T_1415,GDOD_T_1415,XGDOD_A_1415,GDOD_A_1415,XDOD_N_1415,DOD_N_1415,XDOD_T_1415,DOD_T_1415,XDOD_A_1415,DOD_A   _1415,XUGPO9_N_1516,UGPO9_N_1516,XUGPO9_T_1516,UGPO9_T_1516,XUGPO9_A_1516,UGPO9_A_1516,XGPO9_N_1516,GPO9_N_1516,XGPO9_T_1516,GPO9_T_1516,XGPO9_A_1516,GPO9_A_1516,XPO9_N_1516,PO9_N_1516,XPO9_T_1516,PO9_T_1516,XPO9_A_1516,PO9_A_1516,XUGDOD_N_1516,UGDOD_N_1516,XUGDOD_T_1516,UGDOD_T_1516,XUGDOD_A_1516,UGDOD_A_1516,XGDOD_N_1516,GDOD_N_1516,XGDOD_T_1516,GDOD_T_1516,XGDOD_A_1516,GDOD_A_1516,XDOD_N_1516,DOD_N_1516,XDOD_T_1516,DOD_T_1516,XDOD_A_1516,DOD_A   _1516
0,100654,R,74.0,R,459035.0,R,6203.0,R,14.0,R,104332.0,R,7452.0,R,88.0,R,563367.0,R,6402.0,R,706.0,R,3004448.0,R,4256.0,R,34.0,R,141425.0,R,4160.0,R,740.0,R,3145873.0,R,4251.0,R,73.0,R,389395.0,R,5334.0,R,12.0,R,56548.0,R,4712.0,R,85.0,R,445943.0,R,5246.0,R,21.0,R,62629.0,R,2982.0,R,2.0,R,5500.0,R,2750.0,R,23.0,R,68129.0,R,2962.0,R,65.0,R,445249.0,R,6850.0,R,12.0,R,66683.0,R,5557.0,R,77.0,R,511932.0,R,6648.0,R,22.0,R,64152.0,R,2916.0,R,4.0,R,10756.0,R,2689.0,R,26.0,R,74908.0,R,2881.0
1,100663,R,404.0,R,3348496.0,R,8288.0,R,127.0,R,1237848.0,R,9747.0,R,531.0,R,4586344.0,R,8637.0,R,26.0,R,77431.0,R,2978.0,R,16.0,R,44287.0,R,2768.0,R,42.0,R,121718.0,R,2898.0,R,302.0,R,2236517.0,R,7406.0,R,116.0,R,978962.0,R,8439.0,R,418.0,R,3215479.0,R,7693.0,R,28.0,R,75188.0,R,2685.0,R,6.0,R,10959.0,R,1827.0,R,34.0,R,86147.0,R,2534.0,R,315.0,R,2183878.0,R,6933.0,R,97.0,R,738455.0,R,7613.0,R,412.0,R,2922333.0,R,7093.0,R,14.0,R,32841.0,R,2346.0,R,4.0,R,9621.0,R,2405.0,R,18.0,R,42462.0,R,2359.0
2,100690,R,14.0,R,78158.0,R,5583.0,R,13.0,R,75270.0,R,5790.0,R,27.0,R,153428.0,R,5683.0,R,16.0,R,51000.0,R,3188.0,R,9.0,R,28500.0,R,3167.0,R,25.0,R,79500.0,R,3180.0,R,13.0,R,109115.0,R,8393.0,R,31.0,R,217144.0,R,7005.0,R,44.0,R,326259.0,R,7415.0,R,15.0,R,35500.0,R,2367.0,R,10.0,R,24350.0,R,2435.0,R,25.0,R,59850.0,R,2394.0,R,16.0,R,153051.0,R,9566.0,R,21.0,R,141373.0,R,6732.0,R,37.0,R,294424.0,R,7957.0,R,18.0,R,56500.0,R,3139.0,R,6.0,R,13500.0,R,2250.0,R,24.0,R,70000.0,R,2917.0
3,100706,R,308.0,R,2575083.0,R,8361.0,R,66.0,R,427246.0,R,6473.0,R,374.0,R,3002329.0,R,8028.0,R,5.0,R,10750.0,R,2150.0,R,1.0,R,750.0,R,750.0,R,6.0,R,11500.0,R,1917.0,R,283.0,R,2158346.0,R,7627.0,R,45.0,R,245521.0,R,5456.0,R,328.0,R,2403867.0,R,7329.0,R,17.0,R,41437.0,R,2437.0,R,3.0,R,4500.0,R,1500.0,R,20.0,R,45937.0,R,2297.0,R,246.0,R,2243907.0,R,9122.0,R,43.0,R,288188.0,R,6702.0,R,289.0,R,2532095.0,R,8762.0,R,10.0,R,23000.0,R,2300.0,R,1.0,R,1000.0,R,1000.0,R,11.0,R,24000.0,R,2182.0
4,100724,R,171.0,R,578291.0,R,3382.0,R,14.0,R,40069.0,R,2862.0,R,185.0,R,618360.0,R,3342.0,R,22.0,R,76642.0,R,3484.0,R,1.0,R,3000.0,R,3000.0,R,23.0,R,79642.0,R,3463.0,R,36.0,R,218112.0,R,6059.0,R,2.0,R,10191.0,R,5096.0,R,38.0,R,228303.0,R,6008.0,R,12.0,R,38752.0,R,3229.0,R,1.0,R,3000.0,R,3000.0,R,13.0,R,41752.0,R,3212.0,R,85.0,R,575318.0,R,6768.0,R,6.0,R,30898.0,R,5150.0,R,91.0,R,606216.0,R,6662.0,R,13.0,R,45086.0,R,3468.0,R,2.0,R,6500.0,R,3250.0,R,15.0,R,51586.0,R,3439.0
5,100751,R,972.0,R,12377132.0,R,12734.0,R,115.0,R,1105561.0,R,9614.0,R,1087.0,R,13482693.0,R,12404.0,R,73.0,R,280675.0,R,3845.0,R,15.0,R,34702.0,R,2313.0,R,88.0,R,315377.0,R,3584.0,R,847.0,R,9833175.0,R,11609.0,R,132.0,R,1115362.0,R,8450.0,R,979.0,R,10948537.0,R,11183.0,R,101.0,R,259182.0,R,2566.0,R,53.0,R,93423.0,R,1763.0,R,154.0,R,352605.0,R,2290.0,R,922.0,R,10736840.0,R,11645.0,R,127.0,R,1055150.0,R,8308.0,R,1049.0,R,11791990.0,R,11241.0,R,103.0,R,229900.0,R,2232.0,R,56.0,R,113625.0,R,2029.0,R,159.0,R,343525.0,R,2161.0
6,100760,R,37.0,R,94679.0,R,2559.0,A,,A,,A,,R,37.0,R,94679.0,R,2559.0,R,1.0,R,3510.0,R,3510.0,A,,A,,A,,R,1.0,R,3510.0,R,3510.0,R,28.0,R,82444.0,R,2944.0,A,,A,,A,,R,28.0,R,82444.0,R,2944.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,43.0,R,91462.0,R,2127.0,A,,A,,A,,R,43.0,R,91462.0,R,2127.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
7,100812,R,95.0,R,424633.0,R,4470.0,R,0.0,R,0.0,A,,R,95.0,R,424633.0,R,4470.0,R,64.0,R,79859.0,R,1248.0,R,11.0,R,20369.0,R,1852.0,R,75.0,R,100228.0,R,1336.0,R,113.0,R,439987.0,R,3894.0,A,,A,,A,,R,113.0,R,439987.0,R,3894.0,R,213.0,R,86698.0,R,407.0,A,,A,,A,,R,213.0,R,86698.0,R,407.0,R,98.0,R,375665.0,R,3833.0,R,0.0,R,0.0,A,,R,98.0,R,375665.0,R,3833.0,R,74.0,R,72662.0,R,982.0,R,0.0,R,0.0,A,,R,74.0,R,72662.0,R,982.0
8,100830,R,215.0,R,2946296.0,R,13704.0,R,3.0,R,9115.0,R,3038.0,R,218.0,R,2955411.0,R,13557.0,R,26.0,R,95635.0,R,3678.0,R,1.0,R,750.0,R,750.0,R,27.0,R,96385.0,R,3570.0,R,180.0,R,1206381.0,R,6702.0,R,21.0,R,90739.0,R,4321.0,R,201.0,R,1297120.0,R,6453.0,R,29.0,R,87318.0,R,3011.0,R,5.0,R,16693.0,R,3339.0,R,34.0,R,104011.0,R,3059.0,R,195.0,R,1683071.0,R,8631.0,R,12.0,R,40049.0,R,3337.0,R,207.0,R,1723120.0,R,8324.0,R,27.0,R,80356.0,R,2976.0,R,3.0,R,8311.0,R,2770.0,R,30.0,R,88667.0,R,2956.0
9,100858,R,617.0,R,7083721.0,R,11481.0,R,147.0,R,2107024.0,R,14333.0,R,764.0,R,9190745.0,R,12030.0,R,13.0,R,39884.0,R,3068.0,R,24.0,R,55750.0,R,2323.0,R,37.0,R,95634.0,R,2585.0,R,539.0,R,5358301.0,R,9941.0,R,143.0,R,2057515.0,R,14388.0,R,682.0,R,7415816.0,R,10874.0,R,20.0,R,59506.0,R,2975.0,R,26.0,R,88034.0,R,3386.0,R,46.0,R,147540.0,R,3207.0,R,599.0,R,6423334.0,R,10723.0,R,155.0,R,2373446.0,R,15313.0,R,754.0,R,8796780.0,R,11667.0,R,17.0,R,57742.0,R,3397.0,R,34.0,R,69697.0,R,2050.0,R,51.0,R,127439.0,R,2499.0
